country,year,gender,avg_hourly_earnings_usd
"United Kingdom of Great Britain and Northern Ireland",2015,M,16.939999999999998
"United Kingdom of Great Britain and Northern Ireland",2015,F,14.17
"United Kingdom of Great Britain and Northern Ireland",2014,A,15.243333333333334
"United Kingdom of Great Britain and Northern Ireland",2014,M,16.368333333333332
"United Kingdom of Great Britain and Northern Ireland",2014,F,13.949999999999998
"United Kingdom of Great Britain and Northern Ireland",2013,A,15.106666666666667
"United Kingdom of Great Britain and Northern Ireland",2013,M,16.208333333333332
"United Kingdom of Great Britain and Northern Ireland",2013,F,13.831666666666669
"Venezuela (Bolivarian Republic of)",2017,A,1905.4924999999998
"Venezuela (Bolivarian Republic of)",2017,M,2000.97
"Venezuela (Bolivarian Republic of)",2017,F,1654.7725
"Venezuela (Bolivarian Republic of)",2016,A,150.09
"Venezuela (Bolivarian Republic of)",2016,M,158.215
"Venezuela (Bolivarian Republic of)",2016,F,162.185
Tunisia,2019,A,2.33662376608772
Tunisia,2019,M,2.428066747696889
Tunisia,2019,F,2.2003112469187713
"Marshall Islands",2019,A,5.613333333333333
"Marshall Islands",2019,M,5.426666666666667
"Marshall Islands",2019,F,5.945
Mali,2020,A,1.2495555156483835
Mali,2020,M,1.358899151826858
Mali,2020,F,0.7880281946490154
Mali,2018,A,1.3466254434141554
Mali,2018,M,1.4749696469921416
Mali,2018,F,0.8575516015955953
Mali,2017,A,1.010958712555496
Mali,2017,M,1.0813445300440707
Mali,2017,F,0.8269429406285518
Mali,2016,A,1.2198669429129885
Mali,2016,M,1.315962331176582
Mali,2016,F,0.6899428382171479
Mali,2015,A,0.9595547617474353
Mali,2015,M,0.971549901036569
Mali,2015,F,0.9133885575042934
Mali,2014,A,1.3191534125298945
Mali,2014,M,1.3992973704467515
Mali,2014,F,0.8692893736046207
Mali,2013,A,1.143879524062342
Mali,2013,M,1.2104618788807342
Mali,2013,F,1.1511974752386214
"Republic of Korea",2022,A,55221.5
"Republic of Korea",2022,M,60027.75
"Republic of Korea",2022,F,43990.25
"Republic of Korea",2021,A,48600.5
"Republic of Korea",2021,M,52889
"Republic of Korea",2021,F,38307.75
"Republic of Korea",2020,A,47418.5
"Republic of Korea",2020,M,51488.25
"Republic of Korea",2020,F,37881
"Republic of Korea",2019,A,50012.5
"Republic of Korea",2019,M,54285.75
"Republic of Korea",2019,F,40157.25
"Republic of Korea",2018,A,46626.5
"Republic of Korea",2018,M,51070.25
"Republic of Korea",2018,F,37102.5
"Republic of Korea",2017,A,41361.75
"Republic of Korea",2017,M,45588.25
"Republic of Korea",2017,F,31329.75
"Republic of Korea",2016,A,40173
"Republic of Korea",2016,M,44008
"Republic of Korea",2016,F,31436.5
"Republic of Korea",2015,A,37976.25
"Republic of Korea",2015,M,41880.75
"Republic of Korea",2015,F,28596.75
"Republic of Korea",2014,A,39545.5
"Republic of Korea",2014,M,43491.5
"Republic of Korea",2014,F,30641
"Republic of Korea",2013,A,37510.75
"Republic of Korea",2013,M,41327.75
"Republic of Korea",2013,F,27359.75
Uruguay,2023,A,11.144462069128343
Uruguay,2023,M,12.144232399702064
Uruguay,2023,F,10.012041546555274
Uruguay,2022,A,9.357902897057611
Uruguay,2022,M,10.139600407243766
Uruguay,2022,F,8.568271015457864
Ukraine,2016,A,2.534244710576417
Ukraine,2016,M,2.865277653698401
Ukraine,2016,F,2.2750279783662175
Switzerland,2023,A,54.99968465610821
Switzerland,2023,M,58.665093657135856
Switzerland,2023,F,50.3437248420498
Switzerland,2022,A,50.63889914374161
Switzerland,2022,M,53.011042949068724
Switzerland,2022,F,47.57902564062283
Switzerland,2021,A,54.96733128764428
